4
50 100
0 477013
1 2011800
2 428284
3 424630
4 2098874
5 2399555
6 2309927
7 1543747
8 1891957
9 1525759
10 2128352
11 2186214
12 28257
13 884208
14 1508233
15 1419685
16 2338601
17 1857155
18 906432
19 883235
20 1240495
21 1913041
22 1420269
23 1699851
24 1646000
25 1003903
26 2151122
27 1667907
28 1887807
29 1467370
30 2010008
31 669362
32 527887
33 2415091
34 1403575
35 1890501
36 1461460
37 2120602
38 1712499
39 899325
40 389228
41 1528031
42 668664
43 2192148
44 1271139
45 2099575
46 479841
47 872065
48 1648151
32 27 238
25 41 246
42 47 303
40 12 221
2 24 146
41 49 160
1 35 183
10 8 148
18 2 228
18 40 190
6 42 126
15 24 190
5 32 245
33 48 115
45 29 256
24 18 173
40 19 101
33 48 181
45 30 213
39 21 128
37 5 166
45 17 140
26 3 158
11 20 81
48 32 191
29 2 225
41 11 215
6 2 150
45 26 150
28 22 138
9 18 97
20 13 162
24 19 77
15 47 212
3 32 126
32 5 97
4 13 201
5 22 105
42 18 71
5 9 127
0 23 144
47 15 167
46 1 78
0 38 128
45 11 165
41 16 115
37 27 173
12 17 136
21 37 104
32 2 88
18 40 120
21 9 55
38 0 107
15 48 110
16 11 48
1 47 106
26 5 76
5 42 116
24 14 101
21 3 97
28 28 99
38 21 73
35 7 67
41 35 73
18 5 88
9 43 44
5 1 75
28 18 53
27 33 49
45 28 100
35 11 35
28 24 42
34 17 68
27 36 47
21 41 47
23 39 47
18 23 86
34 6 49
24 2 36
13 35 22
38 2 38
45 34 21
17 24 49
4 41 54
7 31 16
47 8 30
32 23 38
21 39 33
49 15 34
43 8 26
18 42 19
34 10 9
33 19 31
32 27 28
24 7 28
5 16 15
46 2 19
19 40 17
28 31 21
4 41 1
50 100
0 316796
1 822648
2 1633569
3 400415
4 2083707
5 1204109
6 620407
7 2091724
8 1831004
9 1538101
10 337037
11 2423788
12 1222403
13 682703
14 694287
15 11488
16 2358254
17 2145355
18 898402
19 309874
20 520844
21 166082
22 1716254
23 248414
24 1695472
25 1645181
26 345687
27 2207413
28 1495299
29 1691013
30 564517
31 2264453
32 1350320
33 537905
34 1092265
35 497280
36 86652
37 1764510
38 1587047
39 1684841
40 677562
41 1251073
42 1537918
43 1343410
44 501916
45 1908118
46 1391001
47 1507130
48 2019160
24 7 152
26 47 130
4 0 112
47 27 141
49 10 279
49 42 228
22 19 179
18 14 156
26 17 133
21 25 265
35 32 105
6 31 251
44 32 156
5 9 201
45 42 131
19 29 215
4 38 193
11 14 212
18 10 152
27 24 247
21 45 80
30 28 218
20 8 92
13 25 237
11 35 97
31 2 172
3 48 107
11 1 94
2 45 124
46 48 103
11 44 91
1 42 193
39 37 194
32 4 192
18 33 164
2 29 128
17 1 199
28 41 136
45 45 138
28 8 181
30 29 156
20 14 191
31 20 104
23 6 69
9 33 127
47 32 144
27 7 59
48 41 68
24 30 154
25 23 133
46 7 108
6 35 112
5 22 77
44 47 86
27 6 132
17 42 79
33 12 92
46 40 97
43 21 84
1 41 76
1 30 66
23 11 98
2 30 60
45 29 115
39 2 41
19 47 90
35 45 57
22 27 99
0 9 69
36 35 102
17 47 105
5 22 89
35 18 56
19 35 42
28 19 52
9 30 29
39 45 62
49 0 72
43 42 53
31 18 78
30 11 20
19 16 21
5 24 50
20 25 33
2 31 17
32 28 34
14 23 34
0 13 52
28 13 18
32 5 17
7 46 22
29 16 33
2 26 10
43 17 28
34 29 12
36 18 23
3 46 12
10 13 13
33 16 5
10 34 9
50 100
0 1885346
1 1423996
2 2043455
3 943168
4 1167129
5 1959724
6 810001
7 486026
8 1553083
9 352176
10 694156
11 1922931
12 2049333
13 1101683
14 1217149
15 1850395
16 1200600
17 1938578
